late_orders,avg_review_score
1.0,4.166666666666667
3.0,3.5454545454545454
1.0,4.5
1.0,2.5
5.0,3.5714285714285716
1.0,3.9166666666666665
1.0,1.0
1.0,4.0
1.0,5.0
1.0,4.130434782608695
2.0,4.25
1.0,4.0625
1.0,4.1
1.0,4.0
8.0,4.2
1.0,4.75
2.0,4.352941176470588
3.0,4.116279069767442
4.0,3.9166666666666665
1.0,3.4
1.0,3.888888888888889
1.0,5.0
2.0,3.4615384615384617
1.0,5.0
5.0,4.125
1.0,1.0
18.0,4.212053571428571
3.0,3.9411764705882355
3.0,4.3283582089552235
1.0,4.555555555555555
1.0,4.25
12.0,3.9767441860465116
9.0,4.079646017699115
1.0,4.411764705882353
1.0,3.9166666666666665
1.0,4.0
1.0,4.5
14.0,3.9156626506024095
1.0,4.625
1.0,4.0
1.0,3.5
2.0,4.36
9.0,4.027272727272727
1.0,4.285714285714286
2.0,3.769230769230769
1.0,4.333333333333333
2.0,3.3333333333333335
1.0,5.0
3.0,4.326923076923077
29.0,3.7466666666666666
2.0,3.909090909090909
4.0,4.121428571428571
3.0,3.75
1.0,3.6
5.0,3.710526315789474
1.0,3.7777777777777777
8.0,3.7560975609756095
3.0,4.361111111111111
2.0,5.0
1.0,1.0
5.0,3.9655172413793105
4.0,4.114285714285714
2.0,4.2727272727272725
1.0,4.470588235294118
11.0,4.37012987012987
7.0,4.361702127659575
8.0,3.6986301369863015
4.0,4.0
9.0,3.8552631578947367
1.0,4.12
1.0,4.0
1.0,2.0
2.0,3.3333333333333335
1.0,1.0
2.0,3.375
1.0,4.076923076923077
13.0,3.7586206896551726
1.0,2.5
1.0,1.0
1.0,4.25
6.0,3.892857142857143
1.0,3.3333333333333335
1.0,4.173913043478261
1.0,3.75
1.0,4.333333333333333
1.0,4.542168674698795
1.0,3.75
1.0,1.0
1.0,4.636363636363637
10.0,4.215189873417722
1.0,1.0
4.0,4.109375
1.0,3.75
2.0,4.333333333333333
8.0,4.2615384615384615
16.0,4.232323232323233
1.0,3.7
1.0,4.666666666666667
5.0,3.5294117647058822
1.0,4.111111111111111
1.0,3.2
1.0,3.0
4.0,4.227848101265823
2.0,4.5
1.0,3.3333333333333335
1.0,4.0
1.0,4.068965517241379
1.0,3.7
1.0,3.25
4.0,3.9074074074074074
1.0,4.0
1.0,2.0
2.0,3.6666666666666665
22.0,3.8442622950819674
3.0,3.9375
2.0,4.333333333333333
3.0,3.980392156862745
3.0,4.232876712328767
3.0,4.05
1.0,3.25
1.0,3.6363636363636362
21.0,4.140877598152425
1.0,3.9642857142857144
9.0,4.146520146520147
3.0,4.333333333333333
1.0,3.0
1.0,2.0
42.0,3.851015801354402
9.0,3.6513761467889907
166.0,4.108750907770515
1.0,4.333333333333333
1.0,5.0
1.0,4.163636363636364
1.0,4.75
5.0,3.8979591836734695
1.0,4.0
11.0,4.141414141414141
5.0,3.75
4.0,4.3544303797468356
13.0,4.154255319148936
1.0,4.45
1.0,4.3
1.0,3.3333333333333335
5.0,3.6
1.0,2.0
1.0,3.3333333333333335
1.0,4.04
2.0,4.0588235294117645
3.0,3.5714285714285716
1.0,3.611111111111111
1.0,4.166666666666667
1.0,4.0
1.0,4.133333333333334
1.0,4.388888888888889
3.0,4.0588235294117645
4.0,4.138613861386139
1.0,3.5
3.0,4.256944444444445
1.0,1.0
147.0,4.067248702218027
1.0,4.8
2.0,3.5
1.0,4.0
1.0,3.0
1.0,4.576923076923077
2.0,4.318181818181818
4.0,4.389830508474576
1.0,4.0
2.0,2.5
1.0,4.4
2.0,3.5555555555555554
2.0,2.5
1.0,4.0
2.0,3.8095238095238093
27.0,3.675438596491228
1.0,3.6
2.0,4.35
2.0,4.2465753424657535
3.0,4.28
1.0,5.0
1.0,4.0
2.0,3.8095238095238093
3.0,4.190140845070423
13.0,3.8852459016393444
2.0,3.6666666666666665
2.0,4.407407407407407
1.0,4.6
4.0,4.049019607843137
5.0,4.014851485148514
1.0,3.5555555555555554
5.0,3.7222222222222223
1.0,3.6666666666666665
1.0,4.666666666666667
13.0,3.316666666666667
4.0,3.942857142857143
2.0,4.296296296296297
1.0,4.25
2.0,4.285714285714286
4.0,3.909090909090909
1.0,4.375
2.0,3.0
1.0,3.5
1.0,3.3333333333333335
7.0,4.149253731343284
1.0,3.6666666666666665
143.0,4.09250175192712
1.0,4.0
1.0,3.0
1.0,4.027777777777778
1.0,1.0
1.0,4.428571428571429
1.0,3.7
38.0,4.1426332288401255
5.0,4.404255319148936
1.0,3.857142857142857
4.0,4.089285714285714
2.0,3.9
1.0,4.285714285714286
2.0,4.0
34.0,3.961864406779661
1.0,4.2
1.0,4.75
2.0,3.6666666666666665
1.0,4.25
2.0,3.727272727272727
1.0,3.8181818181818183
1.0,1.0
1.0,4.4375
21.0,3.947619047619048
1.0,4.111111111111111
2.0,4.142857142857143
1.0,4.392857142857143
2.0,4.75
1.0,3.6666666666666665
1.0,5.0
1.0,4.4
1.0,3.7
2.0,3.0
1.0,3.8
7.0,3.966292134831461
1.0,5.0
1.0,3.5555555555555554
1.0,4.0
20.0,4.138036809815951
3.0,4.080645161290323
1.0,4.166666666666667
14.0,4.0661764705882355
1.0,4.0
1.0,3.6666666666666665
3.0,3.6153846153846154
1.0,3.0
2.0,4.1
6.0,4.354838709677419
1.0,3.6666666666666665
1.0,4.615384615384615
11.0,4.119205298013245
2.0,4.7
1.0,4.8
2.0,3.8181818181818183
3.0,3.888888888888889
1.0,4.136363636363637
3.0,3.5294117647058822
2.0,4.027027027027027
1.0,4.714285714285714
4.0,3.1
1.0,3.5
1.0,4.0
5.0,3.857142857142857
1.0,4.294117647058823
2.0,4.3125
18.0,4.140625
1.0,4.111111111111111
1.0,3.6666666666666665
1.0,5.0
3.0,3.7058823529411766
2.0,4.666666666666667
1.0,4.571428571428571
1.0,3.857142857142857
1.0,3.75
1.0,4.0
1.0,3.0
1.0,3.75
4.0,3.5
15.0,3.9029126213592233
2.0,4.1
1.0,3.0
1.0,4.394736842105263
2.0,3.5555555555555554
1.0,4.6
1.0,4.125
1.0,3.772727272727273
1.0,4.75
1.0,3.5
6.0,3.96875
1.0,3.625
1.0,2.3333333333333335
3.0,4.129032258064516
1.0,3.2
1.0,1.6666666666666667
1.0,2.5
1.0,5.0
1.0,4.230769230769231
1.0,4.428571428571429
1.0,4.5
2.0,2.3333333333333335
1.0,4.666666666666667
1.0,4.315789473684211
1.0,3.9
9.0,3.94
1.0,3.3333333333333335
2.0,3.5
2.0,4.2
8.0,4.0
1.0,4.0
27.0,3.9577464788732395
1.0,4.565217391304348
1.0,5.0
1.0,5.0
3.0,3.72
1.0,4.2727272727272725
1.0,3.0
1.0,4.090909090909091
2.0,2.5
6.0,3.7857142857142856
1.0,4.134615384615385
3.0,3.9166666666666665
7.0,4.181451612903226
1.0,4.0
1.0,3.5
3.0,3.272727272727273
1.0,4.708333333333333
11.0,3.89247311827957
1.0,3.875
2.0,3.5
1.0,3.875
1.0,3.5714285714285716
1.0,4.277777777777778
3.0,4.017857142857143
8.0,4.3076923076923075
1.0,4.0
18.0,3.9224489795918367
1.0,3.0
1.0,5.0
2.0,3.6666666666666665
74.0,4.201719576719577
1.0,3.9523809523809526
2.0,2.625
3.0,3.522727272727273
1.0,4.0
1.0,3.0
23.0,3.975438596491228
1.0,4.142857142857143
