False,True
1,0
1,0
1,0
1,0
4,1
3,0
5,0
35,0
5,0
1,0
1,0
2,0
1,0
82,7
5,1
2,0
1,0
4,0
3,0
11,0
26,1
4,1
308,20
59,3
3,0
3,0
24,0
4,0
6,0
5,1
2,0
125,14
1,0
1,1
3,0
2,0
2,0
2,1
2,0
6,0
20,0
3,0
1,0
10,3
4,0
6,0
3,0
10,0
16,0
9,0
2,0
1,0
1,1
5,0
1,0
1,0
2,0
2,0
3,0
2,0
8,2
3,0
58,6
2,0
2,1
12,1
7,0
7,0
1,0
142,11
1,0
18,2
6,0
1,0
4,1
20,2
3,0
1,0
5,0
15,3
2,0
11,0
21,1
2,0
33,0
31,3
73,2
6,0
3,0
5,0
6,1
6,0
6,0
6,4
1,1
3,1
2,0
30,5
2,0
16,1
1,0
14,2
206,18
1,0
2,0
8,1
1,0
2,1
1,0
1,0
2,0
2,0
1,0
4,0
0,1
1,0
1,0
1,0
1,0
7,0
15,3
28,2
1,0
4,0
1,0
2,0
6,1
1,0
13,0
6,1
1,0
1,0
1,0
2,0
2,0
3,1
1,1
3,1
3,1
8,0
1,0
10,4
3,0
88,15
8,2
17,0
2,0
1,0
12,0
1,1
1,0
4,0
1,0
1,0
5,0
38,1
8,2
4,1
7,1
1,0
5,0
1,0
1,0
1,0
1,0
1,0
4,0
21,1
4,0
3,0
3,1
1,0
1,0
7,1
4,0
4,0
1,0
1,0
8,0
4,0
1,0
1,0
59,6
7,1
9,0
3,1
3,0
2,0
3,0
5,0
59,3
3,0
2,0
2,0
4,1
9,0
3,0
3,0
1,0
7,0
1,0
7,0
2,0
6,0
2,1
1,1
0,1
3,0
4,0
12,1
1,0
6,1
1,0
5,0
8,1
1,0
1,2
12,0
3,0
5,0
2,1
4,0
18,1
9,1
41,9
2,1
4,0
0,2
1,0
4,0
1,0
7,0
4,0
28,2
2,0
6,0
1,0
1,0
76,8
1,0
15,0
3,1
1,0
399,27
1,0
2,0
1,0
3,0
1,0
3,0
23,1
16,0
1,0
1,0
2,1
2,0
8,0
11,0
24,0
2,0
2,0
8,1
22,3
1,0
41,0
1,0
1,0
3,0
2,0
2,0
1,0
1,0
1,0
10,1
1,0
1,0
0,1
10,1
2,2
1,0
2,0
2,0
22,6
2,0
4,0
2,0
1,0
4,0
3,0
51,1
6,0
2,0
9,3
1,0
243,7
1,0
2,0
1,1
1,1
8,3
9,0
19,0
23,1
1,0
82,11
2,0
4,0
2,0
3,0
4,0
3,0
3,0
3,0
7,1
2,0
6,2
1,0
2,0
7,1
1,0
1,0
1,0
6,1
33,0
17,1
3,0
3,0
53,3
2,0
1,0
7,0
7,0
4,0
71,8
1,1
230,18
4,0
1,0
1,0
2,0
1,1
15,0
4,1
1,0
1,2
1447,74
20,1
4,0
6,2
1,0
1,0
3,0
3,0
1,0
41,3
5,0
2,0
2,0
1,0
2,0
1,0
3,0
4,0
1,0
2,0
1,1
3,0
13,0
3,0
0,1
1,0
1,0
1,0
1,0
263,23
1,0
5,0
27,0
7,0
6,1
1,0
24,0
1,1
2,0
3,0
2,0
1,0
14,0
1,0
1,0
6,1
5,0
135,2
1,0
1,0
2,0
1,0
2,0
0,1
11,0
16,2
3,0
1,0
26,2
3,0
2,1
1,0
5,0
5,0
2,0
0,1
9,1
2,1
4,0
2,0
2,0
8,1
1,0
2,0
2,0
8,0
1,0
7,0
3,1
2,0
1,0
8,1
56,8
1,0
1,0
1,0
2,0
25,3
10,0
0,1
1,0
3,1
234,32
2,0
2,0
8,0
3,1
7,0
15,0
4,1
4,0
1,0
2,0
9,1
1,0
11,0
153,12
46,0
2,0
11,0
8,0
4,0
1,0
2,0
12,1
1,0
2,0
4,2
1,0
6,0
7,0
3,0
3,0
1,0
1,0
55,3
1,0
1,0
2,0
7,0
8,2
1,0
14,0
19,0
5,1
5,0
3,0
2,0
2,0
6,0
6,0
18,0
2,0
6,0
5,2
5,0
8,1
20,0
35,6
1,0
1,0
