False,True
2,1
107,27
1,0
0,2
61,6
1,0
2,0
2,0
3,0
2,0
5,1
6,0
1,0
1,0
2,0
3,0
6,1
5,2
14,1
9,0
28,6
7,1
1,0
1,0
1,0
1,0
1,0
2,0
143,26
6,0
3,0
1,0
1,1
1,1
8,0
1,0
2,0
3,0
10,4
3,0
3,0
1,1
6,0
1,0
4,1
3,0
2,0
4,0
2,0
2,0
1,0
7,0
4,1
1,0
1,0
2,0
40,4
322,13
1,0
2,1
11,1
1,0
651,40
1,0
128,5
2,0
94,11
32,2
10,2
12,0
11,0
1,0
14,0
3,0
278,75
6,2
2,0
3,0
1,1
1,0
15,0
1,0
21,0
9,0
3,0
44,4
0,1
2,1
13,2
4,0
13,0
1,0
1,0
1,0
5,0
1,0
1,1
5,0
4,0
9,1
37,3
3,0
0,2
1,0
1,0
14598,942
2,0
2,0
10,2
1,0
39,7
3,0
2,0
1,0
0,1
3,0
1,0
2,0
4,0
1,0
7,0
5,0
76,3
2,0
4,1
58,3
1,0
2,0
3,1
1,0
0,1
4,0
12,1
3,0
1,0
34,2
5,0
1,0
6,0
14,0
2,0
4,1
4,0
3,0
3,0
2,0
145,20
3,0
1,0
2,0
2,0
8,0
24,2
2,0
4,0
6,0
35,5
40,7
24,0
1,1
1,0
1,0
17,1
1,0
2,0
2,0
1,0
4,0
4,0
1,1
9,0
6,0
6,0
1,0
2,0
0,1
1,0
1,0
2,0
14,2
1,0
2,0
2,0
1,0
1,0
2,0
3,1
1,0
2,3
19,0
1,1
1,0
1,0
7,2
2,0
2,0
1,0
31,2
242,43
0,1
2,0
1,0
1,0
2,0
3,1
1,0
5,0
0,1
2,0
14,0
10,0
12,1
1,1
3,0
1,0
2,0
14,1
1,1
2,0
3,0
3,1
4,0
3,0
1,0
61,1
5,0
1,0
123,5
3,0
0,1
4,1
4,0
10,1
4,0
6,1
1,0
1,0
1,0
1,0
3,0
3,0
7,0
1,0
20,1
2,0
9,0
1,0
2,0
40,6
9,0
1,0
5,0
2,0
2,0
1,1
7,2
30,6
1,0
19,0
1,0
8,0
6,0
2,0
8,3
2,0
4,1
608,25
20,0
7,0
3,0
2,0
5,0
1,0
161,22
3,0
6,4
5,0
1,0
222,12
2,0
12,0
4,1
4,1
283,13
3,0
1,0
2,0
0,1
1,1
2,0
1,0
10,0
7,0
1,0
3,1
14,1
13,0
5,0
1,0
2,0
19,1
1,0
11,0
1,0
20,4
6,0
4,0
2,0
2,1
1,0
11,0
1,0
1,0
6,0
1,0
1,1
2,0
11,1
1,0
21,0
1,1
1,0
11,0
31,2
7,0
16,0
3,0
1,0
5,0
9,0
4,0
74,1
10,0
262,8
1,0
1,0
1,0
26,3
2,0
6,1
3,0
35,0
1,0
1,0
3,0
13,0
2,1
71,4
4,0
7,1
1,0
221,60
1,0
103,17
1,0
1,0
4,0
5,0
1,0
3,0
7,0
7,0
12,2
5,4
4,0
1,0
32,5
28,2
6,1
3,0
18,2
5,0
13,2
53,1
4,0
1,0
3,0
2,0
6,1
6,0
2,0
1,0
64,7
2,0
3,0
5,0
1,0
5,0
3,0
16,1
5,1
1,0
1,0
2,0
1,0
2,0
5,3
24,1
4,2
4,0
1,0
34,4
3,0
5,0
7,0
38,5
6,0
12,0
1,0
5,0
1,0
36,6
11,2
10,1
19,1
37,3
1,0
10,1
25,3
4,0
14,0
1,0
4,1
55,5
7,1
3,1
3,0
17,0
1,0
1,0
1,0
2,0
50,3
13,0
3,1
3,0
1,0
2,0
3,0
1,0
6,0
10,0
0,1
2,0
1,0
6,0
2,0
2,0
3,1
44,9
1,0
5,1
4,0
2,1
3,0
2,0
70,6
182,9
359,15
1,0
7,0
3,0
4,0
1,0
1,0
2,1
1,0
1,0
38,3
4,1
49,5
1,0
1,0
27,2
3,0
1,0
1,0
2,0
1,0
3,0
3,0
2,0
4,0
4,1
17,0
4,0
1,0
6,0
3,0
1,0
1,0
2,0
4,0
1,0
2,0
48,0
1,1
3,0
10,0
9,1
2,1
5,0
23,0
0,1
1,0
3,0
55,8
4,0
7,2
3,0
173,10
8,0
35,2
1,0
1,0
2,0
3,0
3,2
5,0
1,0
0,1
0,1
14,0
42,2
86,3
2,0
4,0
3,1
1,0
2,0
11,0
1,0
38,4
1,0
77,3
1,0
3,0
33,4
6,0
25,1
1,0
15,0
3,0
1,1
3,0
17,5
3,0
18,0
2,1
2,0
3,0
1,0
0,1
1,0
42,3
1,0
65,8
21,5
3,0
2,0
1,0
1,0
2,0
89,2
0,1
2,0
43,4
1,0
3,0
1,0
3,1
1,0
3,0
3,0
7,0
0,2
1,1
0,1
0,1
1,0
3,0
7,1
284,50
18,0
94,1
17,1
2,1
1,0
8,0
2,0
1,2
19,0
1,0
1,0
2,1
337,43
86,6
1,0
14,1
1,0
2,0
1,0
3,0
1,0
3,1
191,41
80,5
62,1
1,0
1,1
2,0
2,0
1,1
3,0
3,0
2,0
7,1
29,0
2,0
2,0
8,2
1,0
7,2
3,0
1,1
3,2
2,0
